13:33.333332,651520.000000,92379.218750,3,0 
13:33.333332,614029.000000,77218.890625,3,0 
13:0.000000,562940.000000,-17973.111328,0,0 
20:0.000000,117582.000000,-266361.500000,0,0 
22:0.000000,492035.000000,-63419.500000,0,0 
26:37:22.222221,711501.000000,65977.781250,2,0 
38:0.000000,379290.000000,-163933.125000,0,0 
40:0.000000,235656.000000,-346064.375000,0,0 
46:0.000000,456340.000000,-94662.000000,0,0 
50:0.000000,-458374.000000,-775062.312500,0,0 
74:0.000000,559675.000000,-155400.593750,0,0 
28:28:28:85.714287,11803323.000000,5937003.000000,30,0,0
28:88.571426,11576946.000000,5769089.000000,31,0,0
36:85.714287,11593267.000000,5834062.000000,30,0,0
36:85.714287,11750578.000000,5883578.000000,30,0,0
45:93.103447,8556266.000000,4481302.000000,27,0,0
45:0.000000,-182696.000000,-582052.937500,0,0,0
45:0.000000,-116812.000000,-533094.750000,0,0,0
45:0.000000,-90520.000000,-514485.125000,0,0,0
45:0.000000,-9825.000000,-478219.187500,0,0,0
28:0.000000,198061.000000,-226157.859375,0,0,0
45:86.206894,-16673.000000,-495384.281250,25,0,0
45:3.448276,20142.000000,-478974.250000,1,0,0
28:71.428574,1375354.000000,464658.906250,25,0,0
45:34.482758,416113.000000,-199156.031250,10,0,0
45:3.448276,15103.000000,-489764.218750,1,0,0
45:3.448276,7613.000000,-484036.593750,1,0,0
45:0.000000,-5165.000000,-476305.625000,0,0,0
45:3.448276,20955.000000,-489210.000000,1,0,0
45:3.448276,31170.000000,-487279.906250,1,0,0
45:0.000000,-16409.000000,-487972.812500,0,0,0
45:0.000000,-3478.000000,-485652.375000,0,0,0
45:3.448276,16620.000000,-489171.718750,1,13,0
45:3.448276,10060.000000,-489843.437500,1,13,0
(null):(null):(null):(null):(null):45:0.000000,-34608.000000,-489852.343750,0,0,0
45:0.000000,-22109.000000,-501478.937500,0,0,0
45:0.000000,-1045.000000,-492537.000000,0,0,0
45:0.000000,-32001.000000,-496970.468750,0,0,0
45:0.000000,-25415.000000,-499061.375000,0,0,0
45:3.448276,2444.000000,-487056.343750,1,0,0
45:3.448276,76958.000000,-449567.218750,1,0,0
45:6.896552,54147.000000,-461014.375000,2,13,1093456
45:3.448276,61362.000000,-463469.593750,1,13,1088067
45:3.448276,55104.000000,-453169.093750,1,0,0
45:3.448276,2509.000000,-483508.281250,1,0,0
45:10.344828,138476.000000,-368614.531250,3,0,0
45:3.448276,101767.000000,-401607.281250,1,0,0
36:71.428574,984405.000000,292007.843750,25,0,0
36:22.857143,167085.000000,-222204.453125,8,0,0
36:14.285714,124984.000000,-247364.312500,5,0,0
36:31.428572,249375.000000,-179414.937500,11,0,0
36:57.142857,464680.000000,-10549.685547,20,0,0
36:28.571428,175228.000000,-212417.406250,10,0,0
36:11.428572,165272.000000,-275077.531250,4,17,1428630
36:14.285714,164890.000000,-279589.750000,5,17,1390538
36:17.142857,167050.000000,-250433.828125,6,18,1844406
36:11.428572,175012.000000,-269000.218750,4,17,1417776
36:8.571428,115005.000000,-274655.125000,3,4,832753
36:11.428572,170115.000000,-272043.000000,4,13,1531191
36:11.428572,166538.000000,-275188.343750,4,14,1634333
36:8.571428,138462.000000,-261765.750000,3,8,1187766
36:11.428572,165810.000000,-274173.406250,4,14,1598891
36:11.428572,164941.000000,-271471.062500,4,14,1666203
36:31.428572,164116.000000,-208966.593750,11,0,0
36:25.714285,164279.000000,-222815.750000,9,0,0
36:8.571428,122381.000000,-265430.156250,3,0,0
36:25.714285,170289.000000,-212207.546875,9,0,0
36:20.000000,1145389.000000,-210390.453125,7,1,882605
28:51.428570,318273.000000,-112169.375000,18,0,0
28:11.428572,165146.000000,-254311.750000,4,0,0
28:14.285714,142861.000000,-253222.234375,5,0,0
28:25.714285,223476.000000,-203884.078125,9,0,0
28:5.714286,113586.000000,-266910.093750,2,0,0
28:22.857143,184697.000000,-218373.234375,8,0,0
28:22.857143,212435.000000,-215656.593750,8,0,0
28:20.000000,1147755.000000,-210296.250000,7,1,886066
28:5.714286,104922.000000,-276296.468750,2,0,0
28:22.857143,165204.000000,-227467.546875,8,0,0
28:11.428572,187090.000000,-254460.750000,4,14,1727979
28:11.428572,162727.000000,-266943.375000,4,17,1425378
28:5.714286,92485.000000,-296369.312500,2,5,821997
28:11.428572,163826.000000,-266667.718750,4,14,1668925
28:11.428572,164078.000000,-293855.937500,4,15,1539034
28:11.428572,165739.000000,-279484.750000,4,17,1407326
28:11.428572,164368.000000,-284999.531250,4,14,1616457
28:11.428572,164337.000000,-279997.500000,4,14,1596954
57:10.256411,507908.000000,-294311.468750,4,18,2070969
57:10.256411,909195.000000,-292528.406250,4,18,2061278
57:10.256411,522132.000000,-294325.031250,4,2,917036
57:10.256411,509242.000000,-295118.437500,4,2,904932
57:10.256411,504393.000000,-293799.843750,4,2,907463
29:0.000000,-4729.000000,-477676.000000,0,0,0
29:6.896552,111957.000000,-387414.687500,2,13,1194138
29:20.689655,220861.000000,-368244.000000,6,13,1191802
29:3.448276,82029.000000,-435852.968750,1,0,0
29:3.448276,52869.000000,-440323.062500,1,0,0
29:3.448276,72830.000000,-417481.968750,1,0,0
29:24.137932,222115.000000,-316320.281250,7,0,0
29:10.344828,107676.000000,-359843.250000,3,0,0
29:24.137932,218173.000000,-325132.250000,7,0,0
0:0:0:0:0:0.000000,-588629.000000,-588629.000000,0,0,0
0:0:0.000000,-846919.000000,-846919.000000,0,0,0
0:0.000000,-889987.000000,-889987.000000,0,0,0
0:0.000000,-779699.000000,-779699.000000,0,0,0
0:0.000000,-812658.000000,-812658.000000,0,0,0
0:100.000000,61622472.000000,61622472.000000,1,0,0
0:0.000000,-145437.000000,-145437.000000,0,0,0
0:0.000000,-493358.000000,-493358.000000,0,0,0
0:0.000000,-538215.000000,-538215.000000,0,0,0
0:0.000000,-395764.000000,-395764.000000,0,0,0
0:0.000000,-378899.000000,-378899.000000,0,0,0
0:0.000000,-391714.000000,-391714.000000,0,0,0
0:0.000000,-596574.000000,-596574.000000,0,0,0
0:0.000000,-397307.000000,-397307.000000,0,0,0
0:0.000000,-405830.000000,-405830.000000,0,0,0
0:0:0:0:0.000000,-598791.000000,-598791.000000,0,0,0
0:0.000000,-398498.000000,-398498.000000,0,0,0
0:0.000000,-630598.000000,-630598.000000,0,0,0
0:0.000000,-29745.000000,-29745.000000,0,0,0
0:0.000000,-31836.000000,-31836.000000,0,0,0
0:0.000000,-960111.000000,-960111.000000,0,0,0
0:0.000000,-933974.000000,-933974.000000,0,0,0
0:0.000000,-885376.000000,-885376.000000,0,0,0
0:0.000000,-893207.000000,-893207.000000,0,0,0
0:0.000000,-894266.000000,-894266.000000,0,0,0
0:0.000000,-875125.000000,-875125.000000,0,0,0
0:0.000000,-875498.000000,-875498.000000,0,0,0
0:0:0.000000,-874898.000000,-874898.000000,0,0,0
0:0.000000,-880199.000000,-880199.000000,0,0,0
0:0.000000,-877163.000000,-877163.000000,0,0,0
0:0.000000,-877052.000000,-877052.000000,0,0,0
0:0.000000,-877404.000000,-877404.000000,0,0,0
0:0.000000,-877627.000000,-877627.000000,0,0,0
0:0.000000,-879228.000000,-879228.000000,0,0,0
0:0.000000,-853922.000000,-853922.000000,0,0,0
0:0.000000,-864570.000000,-864570.000000,0,0,0
0:0.000000,-873877.000000,-873877.000000,0,0,0
0:0.000000,-874510.000000,-874510.000000,0,0,0
0:0.000000,-876003.000000,-876003.000000,0,0,0
0:0.000000,-838801.000000,-838801.000000,0,0,0
0:0.000000,-877085.000000,-877085.000000,0,0,0
0:0.000000,-813122.000000,-813122.000000,0,0,0
0:0.000000,-777160.000000,-777160.000000,0,0,0
0:0.000000,-875287.000000,-875287.000000,0,0,0
0:0.000000,-799321.000000,-799321.000000,0,0,0
0:0.000000,-388283.000000,-388283.000000,0,0,0
0:0.000000,-294703.000000,-294703.000000,0,0,0
0:0.000000,-949766.000000,-949766.000000,0,0,0
0:0.000000,-871797.000000,-871797.000000,0,0,0
0:0.000000,-894090.000000,-894090.000000,0,0,0
0:0.000000,-894674.000000,-894674.000000,0,0,0
0:0.000000,-895651.000000,-895651.000000,0,0,0
0:0.000000,-893551.000000,-893551.000000,0,0,0
0:0.000000,-895745.000000,-895745.000000,0,0,0
0:0.000000,-893770.000000,-893770.000000,0,0,0
0:0.000000,-875938.000000,-875938.000000,0,0,0
0:0.000000,-878090.000000,-878090.000000,0,0,0
0:0.000000,-874912.000000,-874912.000000,0,0,0
0:0.000000,-116295.000000,-116295.000000,0,0,0
0:0.000000,-366435.000000,-366435.000000,0,0,0
0:0.000000,-86320.000000,-86320.000000,0,0,0
0:0.000000,-362206.000000,-362206.000000,0,0,0
0:0.000000,-109723.000000,-109723.000000,0,0,0
0:0.000000,-365313.000000,-365313.000000,0,0,0
0:0.000000,-105686.000000,-105686.000000,0,0,0
0:0.000000,-359064.000000,-359064.000000,0,0,0
0:0.000000,-106250.000000,-106250.000000,0,0,0
0:0.000000,-107197.000000,-107197.000000,0,0,0
0:0.000000,-105888.000000,-105888.000000,0,0,0
0:0.000000,-98565.000000,-98565.000000,0,0,0
0:0.000000,-92116.000000,-92116.000000,0,0,0
0:0.000000,-107690.000000,-107690.000000,0,0,0
0:0.000000,-85585.000000,-85585.000000,0,0,0
0:0.000000,-119008.000000,-119008.000000,0,0,0
0:0.000000,-360076.000000,-360076.000000,0,0,0
0:100.000000,9553108.000000,9553108.000000,1,0,0
0:100.000000,9686241.000000,9686241.000000,1,0,0
0:0.000000,-692875.000000,-692875.000000,0,0,0
0:0.000000,-496625.000000,-496625.000000,0,0,0
0:0.000000,-630891.000000,-630891.000000,0,0,0
0:0.000000,-734759.000000,-734759.000000,0,0,0
0:0.000000,-699916.000000,-699916.000000,0,0,0
0:0.000000,-732856.000000,-732856.000000,0,0,0
0:0.000000,-737458.000000,-737458.000000,0,0,0
0:100.000000,1369777.000000,1369777.000000,1,0,0
0:0.000000,-384186.000000,-384186.000000,0,0,0
0:0.000000,-810752.000000,-810752.000000,0,0,0
0:0.000000,-772863.000000,-772863.000000,0,0,0
0:0.000000,-276002.000000,-276002.000000,0,0,0
0:0.000000,-653126.000000,-653126.000000,0,0,0
0:0.000000,-630308.000000,-630308.000000,0,0,0
0:0.000000,-107105.000000,-107105.000000,0,0,0
0:0.000000,-116757.000000,-116757.000000,0,0,0
0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:
